Jogador,Posicao,Time,Arquivo
Balbuena,Zagueiro,Corinthians,./Graficos/Balbuena_Corinthians_Zagueiro.html
Everton,Atacante,Grêmio,./Graficos/Everton_Grêmio_Atacante.html
Dodô,Lateral,Coritiba,./Graficos/Dodô_Coritiba_Lateral.html
Willian Arão,Meia,Flamengo,./Graficos/Willian Arão_Flamengo_Meia.html
Everaldo,Atacante,Atlético-GO,./Graficos/Everaldo_Atlético-GO_Atacante.html
Edigar Junio,Atacante,Bahia,./Graficos/Edigar Junio_Bahia_Atacante.html
Vitor Bueno,Meia,Santos,./Graficos/Vitor Bueno_Santos_Meia.html
André,Atacante,Sport,./Graficos/André_Sport_Atacante.html
Arrascaeta,Meia,Cruzeiro,./Graficos/Arrascaeta_Cruzeiro_Meia.html
Henrique,Zagueiro,Fluminense,./Graficos/Henrique_Fluminense_Zagueiro.html
Rodrigo Lindoso,Meia,Botafogo,./Graficos/Rodrigo Lindoso_Botafogo_Meia.html
Joel Carli,Zagueiro,Botafogo,./Graficos/Joel Carli_Botafogo_Zagueiro.html
Cazares,Meia,Atlético-MG,./Graficos/Cazares_Atlético-MG_Meia.html
Rodinei,Lateral,Flamengo,./Graficos/Rodinei_Flamengo_Lateral.html
Patrick,Meia,Sport,./Graficos/Patrick_Sport_Meia.html
Felipe Santana,Zagueiro,Atlético-MG,./Graficos/Felipe Santana_Atlético-MG_Zagueiro.html
Gilson,Lateral,Botafogo,./Graficos/Gilson_Botafogo_Lateral.html
Kieza,Atacante,Vitória,./Graficos/Kieza_Vitória_Atacante.html
Jean,Goleiro,Bahia,./Graficos/Jean_Bahia_Goleiro.html
Luiz Antonio ,Meia,Chapecoense,./Graficos/Luiz Antonio _Chapecoense_Meia.html
Pará,Lateral,Flamengo,./Graficos/Pará_Flamengo_Lateral.html
Victor Ramos,Zagueiro,Chapecoense,./Graficos/Victor Ramos_Chapecoense_Zagueiro.html
Felipe Garcia,Goleiro,Atlético-GO,./Graficos/Felipe Garcia_Atlético-GO_Goleiro.html
Guilherme Arana,Lateral,Corinthians,./Graficos/Guilherme Arana_Corinthians_Lateral.html
Marcelo Grohe,Goleiro,Grêmio,./Graficos/Marcelo Grohe_Grêmio_Goleiro.html
Vladimir Hernández,Atacante,Santos,./Graficos/Vladimir Hernández_Santos_Atacante.html
Buffarini,Lateral,São Paulo,./Graficos/Buffarini_São Paulo_Lateral.html
Dedé,Zagueiro,Cruzeiro,./Graficos/Dedé_Cruzeiro_Zagueiro.html
Thiago Heleno,Zagueiro,Atlético-PR,./Graficos/Thiago Heleno_Atlético-PR_Zagueiro.html
Yago Pikachu,Lateral,Vasco,./Graficos/Yago Pikachu_Vasco_Lateral.html
Felipe Melo,Meia,Palmeiras,./Graficos/Felipe Melo_Palmeiras_Meia.html
Arnaldo,Lateral,Botafogo,./Graficos/Arnaldo_Botafogo_Lateral.html
Arthur,Meia,Grêmio,./Graficos/Arthur_Grêmio_Meia.html
Mateus Vital,Meia,Vasco,./Graficos/Mateus Vital_Vasco_Meia.html
Renê Júnior,Meia,Bahia,./Graficos/Renê Júnior_Bahia_Meia.html
Nikão,Meia,Atlético-PR,./Graficos/Nikão_Atlético-PR_Meia.html
Werley,Zagueiro,Coritiba,./Graficos/Werley_Coritiba_Zagueiro.html
Michel ,Meia,Grêmio,./Graficos/Michel _Grêmio_Meia.html
Tchê Tchê,Meia,Palmeiras,./Graficos/Tchê Tchê_Palmeiras_Meia.html
Rossi,Atacante,Chapecoense,./Graficos/Rossi_Chapecoense_Atacante.html
Ravanelli,Meia,Ponte Preta,./Graficos/Ravanelli_Ponte Preta_Meia.html
Pedro Henrique,Zagueiro,Corinthians,./Graficos/Pedro Henrique_Corinthians_Zagueiro.html
Jonathan,Lateral,Atlético-PR,./Graficos/Jonathan_Atlético-PR_Lateral.html
Thiago Maia,Meia,Santos,./Graficos/Thiago Maia_Santos_Meia.html
Fagner Alemão,Lateral,Avaí,./Graficos/Fagner Alemão_Avaí_Lateral.html
Vinícius,Meia,Bahia,./Graficos/Vinícius_Bahia_Meia.html
William Matheus,Lateral,Coritiba,./Graficos/William Matheus_Coritiba_Lateral.html
Mauricio Kozlinski,Goleiro,Avaí,./Graficos/Mauricio Kozlinski_Avaí_Goleiro.html
Léo,Zagueiro,Cruzeiro,./Graficos/Léo_Cruzeiro_Zagueiro.html
Maicon,Meia,Grêmio,./Graficos/Maicon_Grêmio_Meia.html
Márcio Araújo,Meia,Flamengo,./Graficos/Márcio Araújo_Flamengo_Meia.html
Walter,Atacante,Atlético-GO,./Graficos/Walter_Atlético-GO_Atacante.html
Mancuello,Meia,Flamengo,./Graficos/Mancuello_Flamengo_Meia.html
Rafael Vaz,Zagueiro,Flamengo,./Graficos/Rafael Vaz_Flamengo_Zagueiro.html
Róger Guedes,Atacante,Palmeiras,./Graficos/Róger Guedes_Palmeiras_Atacante.html
Alan Costa,Zagueiro,Vitória,./Graficos/Alan Costa_Vitória_Zagueiro.html
Valdívia,Meia,Atlético-MG,./Graficos/Valdívia_Atlético-MG_Meia.html
Bruno Pacheco,Lateral,Atlético-GO,./Graficos/Bruno Pacheco_Atlético-GO_Lateral.html
Henrique,Lateral,Vasco,./Graficos/Henrique_Vasco_Lateral.html
Rildo,Atacante,Coritiba,./Graficos/Rildo_Coritiba_Atacante.html
Clayton,Atacante,Corinthians,./Graficos/Clayton_Corinthians_Atacante.html
Kanu,Zagueiro,Vitória,./Graficos/Kanu_Vitória_Zagueiro.html
Naldo,Meia,Ponte Preta,./Graficos/Naldo_Ponte Preta_Meia.html
Marcio,Zagueiro,Coritiba,./Graficos/Marcio_Coritiba_Zagueiro.html
André Lima,Atacante,Vitória,./Graficos/André Lima_Vitória_Atacante.html
Diego Rosa,Meia,Atlético-GO,./Graficos/Diego Rosa_Atlético-GO_Meia.html
Wanderson,Zagueiro,Atlético-PR,./Graficos/Wanderson_Atlético-PR_Zagueiro.html
Matheus Galdezani,Meia,Coritiba,./Graficos/Matheus Galdezani_Coritiba_Meia.html
Wellington Nem,Atacante,São Paulo,./Graficos/Wellington Nem_São Paulo_Atacante.html
Egídio,Lateral,Palmeiras,./Graficos/Egídio_Palmeiras_Lateral.html
Roger Carvalho,Zagueiro,Atlético-GO,./Graficos/Roger Carvalho_Atlético-GO_Zagueiro.html
Renato Cajá,Meia,Ponte Preta,./Graficos/Renato Cajá_Ponte Preta_Meia.html
Seijas,Meia,Chapecoense,./Graficos/Seijas_Chapecoense_Meia.html
Otero,Meia,Atlético-MG,./Graficos/Otero_Atlético-MG_Meia.html
Eduardo da Silva,Atacante,Atlético-PR,./Graficos/Eduardo da Silva_Atlético-PR_Atacante.html
Thomás,Meia,Sport,./Graficos/Thomás_Sport_Meia.html
Gabriel,Meia,Corinthians,./Graficos/Gabriel_Corinthians_Meia.html
Marcão Silva,Meia,Atlético-GO,./Graficos/Marcão Silva_Atlético-GO_Meia.html
Jonas,Meia,Coritiba,./Graficos/Jonas_Coritiba_Meia.html
Patric,Lateral,Vitória,./Graficos/Patric_Vitória_Lateral.html
Rafael Moura,Atacante,Atlético-MG,./Graficos/Rafael Moura_Atlético-MG_Atacante.html
Cleiton Xavier,Meia,Vitória,./Graficos/Cleiton Xavier_Vitória_Meia.html
Marcos Calazans,Atacante,Fluminense,./Graficos/Marcos Calazans_Fluminense_Atacante.html
Hudson,Meia,Cruzeiro,./Graficos/Hudson_Cruzeiro_Meia.html
Lucas Romero,Meia,Cruzeiro,./Graficos/Lucas Romero_Cruzeiro_Meia.html
Lucho González,Meia,Atlético-PR,./Graficos/Lucho González_Atlético-PR_Meia.html
Maicosuel,Meia,São Paulo,./Graficos/Maicosuel_São Paulo_Meia.html
Apodi,Lateral,Chapecoense,./Graficos/Apodi_Chapecoense_Lateral.html
Grafite,Atacante,Atlético-PR,./Graficos/Grafite_Atlético-PR_Atacante.html
Mayke,Lateral,Palmeiras,./Graficos/Mayke_Palmeiras_Lateral.html
Renê,Lateral,Flamengo,./Graficos/Renê_Flamengo_Lateral.html
Maycon,Meia,Corinthians,./Graficos/Maycon_Corinthians_Meia.html
Willian,Atacante,Palmeiras,./Graficos/Willian_Palmeiras_Atacante.html
Júlio César,Goleiro,Fluminense,./Graficos/Júlio César_Fluminense_Goleiro.html
Trauco,Lateral,Flamengo,./Graficos/Trauco_Flamengo_Lateral.html
Rafael Thyere,Zagueiro,Grêmio,./Graficos/Rafael Thyere_Grêmio_Zagueiro.html
Gustavo,Atacante,Bahia,./Graficos/Gustavo_Bahia_Atacante.html
Anselmo,Meia,Sport,./Graficos/Anselmo_Sport_Meia.html
Leandro Salino,Lateral,Vitória,./Graficos/Leandro Salino_Vitória_Lateral.html
Luan,Zagueiro,Palmeiras,./Graficos/Luan_Palmeiras_Zagueiro.html
Lucas Veríssimo,Zagueiro,Santos,./Graficos/Lucas Veríssimo_Santos_Zagueiro.html
Ariel Cabral,Meia,Cruzeiro,./Graficos/Ariel Cabral_Cruzeiro_Meia.html
Luan,Atacante,Atlético-MG,./Graficos/Luan_Atlético-MG_Atacante.html
Gustavo Ferrareis,Meia,Bahia,./Graficos/Gustavo Ferrareis_Bahia_Meia.html
Júnior Dutra,Atacante,Avaí,./Graficos/Júnior Dutra_Avaí_Atacante.html
Rodrigo Pimpão,Atacante,Botafogo,./Graficos/Rodrigo Pimpão_Botafogo_Atacante.html
Euller ,Lateral,Vitória,./Graficos/Euller _Vitória_Lateral.html
Sidão,Goleiro,São Paulo,./Graficos/Sidão_São Paulo_Goleiro.html
Renato,Meia,Santos,./Graficos/Renato_Santos_Meia.html
Luan,Meia,Avaí,./Graficos/Luan_Avaí_Meia.html
Leandro Silva,Lateral,Avaí,./Graficos/Leandro Silva_Avaí_Lateral.html
Diego Tavares,Lateral,Avaí,./Graficos/Diego Tavares_Avaí_Lateral.html
Thiago Santos,Meia,Palmeiras,./Graficos/Thiago Santos_Palmeiras_Meia.html
Ezequiel ,Lateral,Cruzeiro,./Graficos/Ezequiel _Cruzeiro_Lateral.html
Osvaldo,Atacante,Sport,./Graficos/Osvaldo_Sport_Atacante.html
Rogério,Atacante,Sport,./Graficos/Rogério_Sport_Atacante.html
Luiz Otávio ,Zagueiro,Chapecoense,./Graficos/Luiz Otávio _Chapecoense_Zagueiro.html
Keno,Atacante,Palmeiras,./Graficos/Keno_Palmeiras_Atacante.html
Rafael Carioca,Meia,Atlético-MG,./Graficos/Rafael Carioca_Atlético-MG_Meia.html
Rafinha,Meia,Cruzeiro,./Graficos/Rafinha_Cruzeiro_Meia.html
Mascarenhas,Lateral,Fluminense,./Graficos/Mascarenhas_Fluminense_Lateral.html
