index	Jogador	Time	Posicao	preco_cartoleta
156	Leandro Silva	Avaí	Lateral	8.430000000000256
157	Ronaldo Alves	Sport	Zagueiro	8.400000000000787
158	Mateus Vital	Vasco	Meia	8.400000000000787
159	Conca	Flamengo	Meia	8.349999999999216
160	Felipe Gedoz 	Atlético-PR	Meia	8.330000000001034
161	Henrique	Fluminense	Zagueiro	8.269999999999635
162	Marcelo Grohe	Grêmio	Goleiro	8.25999999999986
163	Lucas Romero	Cruzeiro	Meia	8.220000000000585
164	Arnaldo	Botafogo	Lateral	8.220000000000585
165	Henrique	Vasco	Lateral	8.169999999998982
166	Pedro Henrique	Corinthians	Zagueiro	8.160000000000581
167	Ravanelli	Ponte Preta	Meia	8.160000000000581
168	Gabriel	Corinthians	Meia	8.150000000000768
169	Betão	Avaí	Zagueiro	8.120000000000237
170	Mauricio Kozlinski	Avaí	Goleiro	8.099999999999238
171	Maicon	Grêmio	Meia	7.9900000000002125
172	Rafael Vaz	Flamengo	Zagueiro	7.900000000000745
173	Marcelo Oliveira	Grêmio	Lateral	7.900000000000745
174	Maycon	Corinthians	Meia	7.839999999999539
175	Wellington Nem	São Paulo	Atacante	7.839999999999539
176	Marcos Calazans	Fluminense	Atacante	7.779999999999447
177	Alan Costa	Vitória	Zagueiro	7.75
178	Victor Ramos	Chapecoense	Zagueiro	7.700000000000005
179	Felipe Garcia	Atlético-GO	Goleiro	7.669999999999029
180	Marlone	Atlético-MG	Meia	7.669999999999029
181	Clayton	Corinthians	Atacante	7.66000000000039
182	Thiago Maia	Santos	Meia	7.650000000000722
183	Marcio	Coritiba	Zagueiro	7.6299999999999155
184	Rildo	Coritiba	Atacante	7.62000000000008
185	Egídio	Palmeiras	Lateral	7.610000000000425
186	Magrão	Sport	Goleiro	7.599999999999283
187	Diego Tavares	Avaí	Lateral	7.580000000000962
188	Buffarini	São Paulo	Lateral	7.540000000000675
189	Bruno Pacheco	Atlético-GO	Lateral	7.540000000000675
190	Hudson	Cruzeiro	Meia	7.509999999999644
191	Renato Cajá	Ponte Preta	Meia	7.419999999999056
192	Diego Rosa	Atlético-GO	Meia	7.31999999999975
193	Jonathan	Atlético-PR	Lateral	7.3100000000002705
194	Marcão Silva	Atlético-GO	Meia	7.270000000000026
195	Vinícius	Bahia	Meia	7.229999999999955
196	Walter	Atlético-GO	Atacante	7.229999999999955
197	Eduardo da Silva	Atlético-PR	Atacante	7.189999999999684
198	Douglas Grolli	Chapecoense	Zagueiro	7.180000000000248
199	Thomás	Sport	Meia	7.180000000000248
200	Rogério	Sport	Atacante	7.169999999999083
201	Jonas	Coritiba	Meia	7.020000000000141
202	Róger Guedes	Palmeiras	Atacante	6.979999999999839
203	Naldo	Ponte Preta	Meia	6.959999999999341
204	Maicosuel	São Paulo	Meia	6.880000000000192
205	Trauco	Flamengo	Lateral	6.839999999999982
206	Luan	Palmeiras	Zagueiro	6.8199999999997525
207	Renê	Flamengo	Lateral	6.810000000000462
208	Zé Roberto	Palmeiras	Lateral	6.790000000000654
209	Andrigo	Atlético-GO	Meia	6.75
210	Apodi	Chapecoense	Lateral	6.75
211	Cleiton Xavier	Vitória	Meia	6.729999999999714
212	Otero	Atlético-MG	Meia	6.650000000000611
213	Durval	Sport	Zagueiro	6.610000000000402
214	Willian	Palmeiras	Atacante	6.560000000000569
215	Rodrigo Pimpão	Botafogo	Atacante	6.520000000000379
216	Anselmo	Sport	Meia	6.5
217	Leandro Salino	Vitória	Lateral	6.5
218	Cléber	Santos	Zagueiro	6.490000000000697
219	Tchê Tchê	Palmeiras	Meia	6.490000000000697
220	Sander	Sport	Lateral	6.439999999999441
221	Renato	Santos	Meia	6.389999999999604
222	Rafael Carioca	Atlético-MG	Meia	6.3699999999996875
223	Ariel Cabral	Cruzeiro	Meia	6.330000000000807
224	Sassá	Cruzeiro	Atacante	6.319999999999756
225	Luan	Atlético-MG	Atacante	6.319999999999756
226	Euller 	Vitória	Lateral	6.310000000000543
227	Patric	Vitória	Lateral	6.259999999999336
228	Sidão	São Paulo	Goleiro	6.25
229	Martín Silva	Vasco	Goleiro	6.2200000000004
230	Seijas	Chapecoense	Meia	6.180000000000243
231	Eduardo	Bahia	Lateral	6.159999999999867
232	William Matheus	Coritiba	Lateral	6.110000000000388
233	Thiago Santos	Palmeiras	Meia	6.099999999999464
234	Roger Bernardo	Atlético-MG	Meia	5.990000000000621
235	Jean Mota	Santos	Meia	5.979999999999626
236	Rafinha	Cruzeiro	Meia	5.9599999999993765
237	Lucas Veríssimo	Santos	Zagueiro	5.950000000000492
238	Mena	Sport	Lateral	5.939999999999505
239	Juan	Flamengo	Zagueiro	5.919999999999257
240	Mayke	Palmeiras	Lateral	5.909999999999868
241	João Pedro 	Chapecoense	Lateral	5.869999999999747
242	Élber	Cruzeiro	Meia	5.869999999999747
243	Kayke	Santos	Atacante	5.860000000000379
244	Ezequiel 	Cruzeiro	Lateral	5.860000000000379
245	Keno	Palmeiras	Atacante	5.860000000000379
246	Leandro Pereira	Sport	Atacante	5.860000000000379
247	Mascarenhas	Fluminense	Lateral	5.840000000000132
248	Romulo	Flamengo	Meia	5.770000000000372
249	Thiago Ribeiro	Santos	Atacante	5.759999999999418
250	Osvaldo	Sport	Atacante	5.720000000000333
251	Luiz Otávio 	Chapecoense	Zagueiro	5.659999999999868
252	Airton	Botafogo	Meia	5.63000000000022
253	Bruno	São Paulo	Lateral	5.63000000000022
254	Luan	Avaí	Meia	5.619999999999781
255	Giovanni Augusto	Corinthians	Meia	5.569999999999763
256	Rafael Thyere	Grêmio	Zagueiro	5.56000000000044
257	Juan	Avaí	Meia	5.540000000000605
258	Alex Silva	Atlético-MG	Lateral	5.529999999999695
259	Wanderson	Atlético-PR	Zagueiro	5.529999999999695
260	Gustavo Ferrareis	Bahia	Meia	5.520000000000369
261	Guilherme Costa	Vasco	Meia	5.5
262	Thiago	Flamengo	Goleiro	5.479999999999631
263	Thalles	Vasco	Atacante	5.4700000000002955
264	Santos	Atlético-PR	Goleiro	5.430000000000236
265	Reginaldo	Fluminense	Zagueiro	5.389999999999638
266	Lucho González	Atlético-PR	Meia	5.380000000000184
267	Uillian Correia	Vitória	Meia	5.330000000000632
268	Lucão	São Paulo	Zagueiro	5.25
269	Júlio César	Fluminense	Goleiro	5.2299999999996345
270	Andrei Girotto	Chapecoense	Meia	5.209999999999412
271	Elton	Ponte Preta	Meia	5.189999999999622
272	Jeferson	Ponte Preta	Lateral	5.180000000000233
273	Thomaz	São Paulo	Meia	5.159999999999869
274	Bruno Rodrigo	Grêmio	Zagueiro	5.110000000000349
275	Fabiano	Palmeiras	Lateral	5.090000000000131
276	Marquinhos	Sport	Atacante	5.04999999999955
277	Deivid	Atlético-PR	Meia	5.040000000000578
278	Kelvin	Vasco	Atacante	5.02999999999978
279	Neilton	Vitória	Atacante	4.959999999999427
280	David	Vitória	Atacante	4.959999999999427
281	Tiago Real	Coritiba	Meia	4.950000000000444
282	Henrique	Cruzeiro	Meia	4.880000000000098
283	Cícero	São Paulo	Meia	4.869999999999904
284	Emerson Sheik	Ponte Preta	Atacante	4.860000000000338
285	Guilherme	Botafogo	Atacante	4.799999999999565
286	Alan Santos	Coritiba	Meia	4.799999999999565
287	Willians	Avaí	Atacante	4.790000000000563
288	Manga Escobar	Vasco	Atacante	4.75
289	Michel Bastos	Palmeiras	Meia	4.75
290	Wagner	Vasco	Meia	4.75
291	Luis Caicedo	Cruzeiro	Zagueiro	4.75
292	Negueba	Ponte Preta	Atacante	4.729999999999642
293	Maicon	Avaí	Lateral	4.720000000000157
294	Raul Prata	Sport	Lateral	4.680000000000227
295	Lucas Silva	Cruzeiro	Meia	4.680000000000227
296	João Paulo	Bahia	Atacante	4.650000000000249
297	Pedro	Fluminense	Atacante	4.619999999999954
298	Matheus Rossetto	Atlético-PR	Meia	4.610000000000324
299	Jorginho	Atlético-GO	Meia	4.590000000000129
300	Cuéllar	Flamengo	Meia	4.560000000000249
301	Léo	Coritiba	Lateral	4.549999999999581
302	Jailson	Grêmio	Meia	4.549999999999581
303	Adilson	Atlético-MG	Meia	4.540000000000545
304	Fernandinho	Ponte Preta	Lateral	4.529999999999884
305	Matheus Reis	Bahia	Lateral	4.490000000000294
306	Marcos Vinícius	Botafogo	Meia	4.479999999999646
307	Iago	Coritiba	Atacante	4.470000000000101
308	Paulão	Vasco	Zagueiro	4.389999999999689
309	Léo Santos	Corinthians	Zagueiro	4.379999999999993
310	Gabriel Xavier	Vitória	Meia	4.340000000000128
311	Lucas Fonseca	Bahia	Zagueiro	4.340000000000128
312	Fred	Vitória	Zagueiro	4.330000000000374
313	Berrío 	Flamengo	Atacante	4.319999999999778
314	Rafael Moura	Atlético-MG	Atacante	4.290000000000527
315	Jhemerson	Vitória	Meia	4.279999999999946
316	Ederson	Flamengo	Meia	4.25
317	Camacho	Corinthians	Meia	4.25
318	Marcinho	São Paulo	Atacante	4.229999999999651
319	Alex Muralha	Flamengo	Goleiro	4.220000000000039
320	Diego Renan	Chapecoense	Lateral	4.2099999999994795
321	Gilberto	São Paulo	Atacante	4.200000000000394
322	Carlos Eduardo	Vitória	Meia	4.18000000000022
323	Lugano	São Paulo	Zagueiro	4.169999999999678
324	Gustavo	Avaí	Zagueiro	4.139999999999705
325	Pisculichi	Vitória	Meia	4.12999999999993
326	Judson	Avaí	Meia	4.12999999999993
327	Raphael Veiga	Palmeiras	Meia	4.090000000000128
328	Wendel	Ponte Preta	Meia	4.049999999999619
329	Rafael Marques	Cruzeiro	Atacante	4.040000000000505
330	Jandrei	Chapecoense	Goleiro	4.040000000000505
331	Lennon	Cruzeiro	Lateral	4.0300000000000145
332	Fillipe Soutto	Vitória	Meia	4.0
333	Erazo	Atlético-MG	Zagueiro	3.979999999999657
334	Paulinho	Vitória	Atacante	3.939999999999918
335	Bryan	Cruzeiro	Lateral	3.9300000000002155
336	Erik	Palmeiras	Atacante	3.9300000000002155
337	Samuel Xavier	Sport	Lateral	3.9199999999997694
338	Diego Cavalieri	Fluminense	Goleiro	3.909999999999874
339	Éderson	Atlético-PR	Atacante	3.900000000000017
340	Júnior Viçosa	Atlético-GO	Atacante	3.8500000000000023
341	Caju	Santos	Lateral	3.830000000000195
342	Marcelo	Botafogo	Zagueiro	3.7999999999996414
343	Kaio	Grêmio	Meia	3.75999999999996
344	Edinho	Coritiba	Meia	3.75
345	Renato	Fluminense	Lateral	3.75
346	Beto da Silva	Grêmio	Atacante	3.740000000000032
347	Éder 	Bahia	Zagueiro	3.740000000000032
348	Alison	Santos	Meia	3.740000000000032
349	Fernandes	Botafogo	Meia	3.7199999999998874
350	Léo	Fluminense	Lateral	3.6699999999998725
351	Lucas Fernandes	Fluminense	Atacante	3.659999999999875
352	Igor	Atlético-GO	Meia	3.6100000000002526
353	Lins	Ponte Preta	Atacante	3.559999999999951
354	Jadson	Ponte Preta	Meia	3.559999999999951
355	Rodrigo	Sport	Meia	3.5400000000004535
356	Weverton	Atlético-PR	Goleiro	3.530000000000182
357	Paulo Roberto	Corinthians	Meia	3.530000000000182
358	Breno Lopes	Atlético-GO	Lateral	3.520000000000331
359	Everton Felipe	Sport	Meia	3.5
360	Rodrigo Becão	Bahia	Zagueiro	3.419999999999991
361	Matheus Fernandes	Botafogo	Meia	3.399999999999806
362	Túlio de Melo	Chapecoense	Atacante	3.3799999999996895
363	Paulo André	Atlético-PR	Zagueiro	3.370000000000315
364	Ramon	Vitória	Zagueiro	3.340000000000123
365	Renato Chaves	Fluminense	Zagueiro	3.3199999999997987
366	Helton Leite	Botafogo	Goleiro	3.3199999999997987
367	Alex	Cruzeiro	Meia	3.2999999999996974
368	Daniel Guedes 	Santos	Lateral	3.25
369	Dudu Cearense	Botafogo	Meia	3.2399999999998106
370	Lenis	Sport	Atacante	3.2299999999996785
371	Silva	Atlético-GO	Meia	3.2199999999997204
372	Ronaldo	Sport	Meia	3.2000000000002893
373	Eduardo Gabriel	Atlético-GO	Zagueiro	3.190000000000157
374	Fabián Noguera	Santos	Zagueiro	3.1399999999997963
375	Lucas Fernandes	São Paulo	Meia	3.1200000000003305
376	Nathan	Chapecoense	Zagueiro	3.059999999999858
377	Lucas Marques	Chapecoense	Meia	3.059999999999858
378	Denilson	São Paulo	Atacante	3.0300000000002556
379	Madson	Vasco	Lateral	3.0200000000003135
380	Wellington Simião	Avaí	Meia	3.0200000000003135
381	Osman	Chapecoense	Atacante	2.989999999999813
382	Rodrigão	Atlético-MG	Zagueiro	2.9699999999997524
383	Breno	Vasco	Zagueiro	2.9500000000002524
384	Ricardo Silva	Atlético-GO	Zagueiro	2.9400000000001274
385	Marquinhos	Avaí	Meia	2.8099999999998904
386	Vinícius Pacheco	Avaí	Meia	2.7999999999997733
387	Lucas Lima	Santos	Meia	2.790000000000341
388	Douglas Coutinho 	Atlético-PR	Atacante	2.7600000000001845
389	Lincoln	Grêmio	Meia	2.75
390	Cascardo	Atlético-PR	Lateral	2.7199999999997897
391	Joel	Avaí	Atacante	2.68000000000018
392	Pablo	Atlético-PR	Atacante	2.6499999999997685
393	Léo Cittadini	Santos	Meia	2.6200000000002404
394	Mendoza	Bahia	Atacante	2.600000000000229
395	Luiz Fernando 	Atlético-GO	Meia	2.5900000000001167
396	Caio Monteiro	Vasco	Atacante	2.530000000000177
397	Lourency	Chapecoense	Atacante	2.520000000000289
398	Fábio Santos	Atlético-MG	Lateral	2.5
399	Fabrício Bruno	Chapecoense	Zagueiro	2.459999999999731
400	Éder Militão	São Paulo	Meia	2.459999999999731
401	Lucas	Fluminense	Lateral	2.450000000000155
402	Nenén	Chapecoense	Meia	2.450000000000155
403	Xuxa	Ponte Preta	Meia	2.440000000000049
404	Vinicius Junior	Flamengo	Atacante	2.4200000000000648
405	Marcos Junior	Fluminense	Atacante	2.4200000000000648
406	Jean Pineda	Vitória	Atacante	2.379999999999816
407	Lucas Mineiro	Chapecoense	Meia	2.3500000000002146
408	Moisés	Chapecoense	Meia	2.319999999999837
409	Paulo Vitor	Vasco	Atacante	2.25
410	Matheus Sales	Bahia	Meia	2.1800000000001547
411	Conrado	Grêmio	Meia	2.159999999999889
412	Luan Peres 	Ponte Preta	Zagueiro	2.159999999999889
413	Maikon Leite	Bahia	Atacante	2.1499999999997996
414	Régis Souza	Bahia	Lateral	2.1499999999997996
415	Alecsandro	Coritiba	Atacante	2.139999999999973
416	João Paulo	Botafogo	Meia	2.1299999999998884
417	Feijão	Bahia	Meia	2.060000000000036
418	Léo Artur	Ponte Preta	Meia	2.0400000000001453
419	Machado	Grêmio	Meia	2.0400000000001453
420	Léo	Grêmio	Goleiro	1.9500000000000084
421	Bremer	Atlético-MG	Zagueiro	1.9500000000000084
422	Jonathan	Atlético-GO	Lateral	1.9399999999999302
423	Kazim	Corinthians	Atacante	1.8500000000001742
424	Arthur Gomes	Santos	Atacante	1.840000000000105
425	Yago	Atlético-MG	Meia	1.7799999999999756
426	Fábio Braga	Ponte Preta	Meia	1.7399999999998352
427	Araruna	São Paulo	Meia	1.7299999999997782
428	Bressan	Grêmio	Zagueiro	1.720000000000048
429	Bruno Gallo	Vasco	Meia	1.699999999999903
430	Jomar	Vasco	Zagueiro	1.6700000000000614
431	Pachu	Botafogo	Atacante	1.6300000000000947
432	René	Vitória	Zagueiro	1.6199999999999053
433	Rafael Marques	Vasco	Zagueiro	1.5900000000000987
434	Perotti	Chapecoense	Atacante	1.5699999999998981
435	Rafaelson	Vitória	Atacante	1.5399999999999667
436	André Castro	Atlético-GO	Meia	1.5100000000001568
437	Lima	Grêmio	Meia	1.5
438	Léo Gomes	Grêmio	Lateral	1.4799999999998144
439	Fabrício	Sport	Meia	1.39000000000011
440	Pedrinho	Corinthians	Atacante	1.3599999999998948
441	Rafael Longuine	Santos	Meia	1.319999999999934
442	Matheus Anjos	Atlético-PR	Meia	1.2700000000001441
443	Pedro Castro	Avaí	Meia	1.2700000000001441
444	Thallyson	Vitória	Lateral	1.25
445	Alan Cardoso	Vasco	Lateral	1.2100000000000324
446	Murilo	Cruzeiro	Zagueiro	1.1800000000000392
447	Douglas	Bahia	Atacante	1.1099999999999448
448	Matheus Alessandro	Fluminense	Atacante	1.1000000000000452
449	Ralph	Atlético-MG	Meia	1.039999999999968
450	Pepê	Grêmio	Atacante	0.9699999999999651
451	Armero	Bahia	Lateral	0.9099999999999362
452	Felipe Saraiva	Ponte Preta	Meia	0.8800000000000827
453	Thalis 	Atlético-MG	Meia	0.8099999999999526
454	Eduardo	Atlético-GO	Lateral	0.7899999999999695
455	Thallyson	Sport	Meia	0.7899999999999695
456	Yago	Vitória	Meia	0.7899999999999695
457	Wellington	Vasco	Meia	0.7899999999999695
458	Claudinho	Ponte Preta	Atacante	0.7899999999999695
459	Yuri	Santos	Meia	0.7800000000000826
460	Getterson	Coritiba	Atacante	0.7800000000000826
461	Nicolas Careca	Grêmio	Atacante	0.7800000000000826
462	Mateus Norton	Fluminense	Meia	0.7699999999999834
463	Lourenço	Avaí	Atacante	0.7699999999999834
464	Juninho	Sport	Atacante	0.7699999999999834
465	Nadson	Chapecoense	Meia	0.7600000000000962
466	Evandro	Sport	Lateral	0.7600000000000962
467	Raniel	Cruzeiro	Atacante	0.7300000000000165
468	Emerson Santos	Botafogo	Zagueiro	0.7100000000000298
469	Klever	Atlético-GO	Goleiro	0.7100000000000298
